Word,3singular,Present Participle,Simple Past,Past Participle, isRegular
refuse,refuses,refusing,refused,refused,true
regain,regains,regaining,regained,regained,true
regard,regards,regarding,regarded,regarded,true
register,registers,registering,registered,registered,true
regret,regrets,regretting,regretted,regretted,true
regulate,regulates,regulating,regulated,regulated,true
reinforce,reinforces,reinforcing,reinforced,reinforced,true
reject,rejects,rejecting,rejected,rejected,true
relate,relates,relating,related,related,true
relax,relaxes,relaxing,relaxed,relaxed,true
release,releases,releasing,released,released,true
relieve,relieves,relieving,relieved,relieved,true
rely,relies,relying,relied,relied,true
remain,remains,remaining,remained,remained,true
remedy,remedies,remedying,remedied,remedied,true
remember,remembers,remembering,remembered,remembered,true
remind,reminds,reminding,reminded,reminded,true
remove,removes,removing,removed,removed,true
render,renders,rendering,rendered,rendered,true
renew,renews,renewing,renewed,renewed,true
repair,repairs,repairing,repaired,repaired,true
repay,repays,repaying,repaid,repaid,true
repeat,repeats,repeating,repeated,repeated,true
replace,replaces,replacing,replaced,replaced,true
reply,replies,replying,replied,replied,true
report,reports,reporting,reported,reported,true
represent,represents,representing,represented,represented,true
reproduce,reproduces,reproducing,reproduced,reproduced,true
request,requests,requesting,requested,requested,true
require,requires,requiring,required,required,true
rescue,rescues,rescuing,rescued,rescued,true
research,researches,researching,researched,researched,true
resemble,resembles,resembling,resembled,resembled,true
reserve,reserves,reserving,reserved,reserved,true
resign,resigns,resigning,resigned,resigned,true
resist,resists,resisting,resisted,resisted,true
resolve,resolves,resolving,resolved,resolved,true
resource,resources,resourcing,resourced,resourced,true
respect,respects,respecting,respected,respected,true
respond,responds,responding,responded,responded,true
rest,rests,resting,rested,rested,true
restore,restores,restoring,restored,restored,true
restrain,restrains,restraining,restrained,restrained,true
restrict,restricts,restricting,restricted,restricted,true
result,results,resulting,resulted,resulted,true
resume,resumes,resuming,resumed,resumed,true
retain,retains,retaining,retained,retained,true
retire,retires,retiring,retired,retired,true
retrieve,retrieves,retrieving,retrieved,retrieved,true
return,returns,returning,returned,returned,true
reveal,reveals,revealing,revealed,revealed,true
reverse,reverses,reversing,reversed,reversed,true
revert,reverts,reverting,reverted,reverted,true
review,reviews,reviewing,reviewed,reviewed,true
revise,revises,revising,revised,revised,true
revive,revives,reviving,revived,revived,true
rid,rids,ridding,rid,rid,false
ride,rides,riding,rode,ridden,false
ring,rings,ringing,ringed,ringed,true
rise,rises,rising,rose,risen,false
risk,risks,risking,risked,risked,true
roll,rolls,rolling,rolled,rolled,true
round,rounds,rounding,rounded,rounded,true
row,rows,rowing,rowed,rowed,true
rub,rubs,rubbing,rubbed,rubbed,true
ruin,ruins,ruining,ruined,ruined,true
rule,rules,ruling,ruled,ruled,true
run,runs,running,ran,run,false
rush,rushes,rushing,rushed,rushed,true
safeguard,safeguards,safeguarding,safeguarded,safeguarded,true
sail,sails,sailing,sailed,sailed,true
satisfy,satisfies,satisfying,satisfied,satisfied,true
save,saves,saving,saved,saved,true
say,says,saying,said,said,false
score,scores,scoring,scored,scored,true
scratch,scratches,scratching,scratched,scratched,true
scream,screams,screaming,screamed,screamed,true
seal,seals,sealing,sealed,sealed,true
search,searches,searching,searched,searched,true
secure,secures,securing,secured,secured,true
see,sees,seeing,saw,seen,false
seek,seeks,seeking,sought,sought,false
seem,seems,seeming,seemed,seemed,true
seize,seizes,seizing,seized,seized,true
select,selects,selecting,selected,selected,true
sell,sells,selling,sold,sold,false
send,sends,sending,sent,sent,false
sense,senses,sensing,sensed,sensed,true
separate,separates,separating,separated,separated,true
serve,serves,serving,served,served,true
service,services,servicing,serviced,serviced,true
set,sets,setting,set,set,false
settle,settles,settling,settled,settled,true
shake,shakes,shaking,shook,shaken,false
shape,shapes,shaping,shaped,shaped,true
share,shares,sharing,shared,shared,true
shed,sheds,shedding,shed,shed,false
shift,shifts,shifting,shifted,shifted,true
shine,shines,shining,shone,shone,false
ship,ships,shipping,shipped,shipped,true
shoot,shoots,shooting,shot,shot,false
shop,shops,shopping,shopped,shopped,true
shout,shouts,shouting,shouted,shouted,true
show,shows,showing,showed,shown,false
shut,shuts,shutting,shut,shut,false
sign,signs,signing,signed,signed,true
signal,signals,signalling,signalled,signalled,true
sing,sings,singing,sang,sung,false
sink,sinks,sinking,sank,sunk,false
sit,sits,sitting,sat,sat,false
sleep,sleeps,sleeping,slept,slept,false
slide,slides,sliding,slid,slid,false
slip,slips,slipping,slipped,slipped,true
slow,slows,slowing,slowed,slowed,true
smell,smells,smelling,smelled,smelled,true
smile,smiles,smiling,smiled,smiled,true
smoke,smokes,smoking,smoked,smoked,true
snap,snaps,snapping,snapped,snapped,true
soften,softens,softening,softened,softened,true
solve,solves,solving,solved,solved,true
sort,sorts,sorting,sorted,sorted,true
sound,sounds,sounding,sounded,sounded,true
spare,spares,sparing,spared,spared,true
speak,speaks,speaking,spoke,spoken,false
specify,specifies,specifying,specified,specified,true
speculate,speculates,speculating,speculated,speculated,true
speed,speeds,speeding,sped,sped,false
spell,spells,spelling,spelled,spelled,true
spend,spends,spending,spent,spent,false
spill,spills,spilling,spilled,spilled,true
spin,spins,spinning,spun,spun,false
split,splits,splitting,split,split,false
spoil,spoils,spoiling,spoiled,spoiled,true
spot,spots,spotting,spotted,spotted,true
spread,spreads,spreading,spread,spread,false
spring,springs,springing,sprang,sprung,false
squeeze,squeezes,squeezing,squeezed,squeezed,true
stand,stands,standing,stood,stood,false
stare,stares,staring,stared,stared,true
start,starts,starting,started,started,true
state,states,stating,stated,stated,true
stay,stays,staying,stayed,stayed,true
steal,steals,stealing,stole,stolen,false
steer,steers,steering,steered,steered,true
stem,stems,stemming,stemmed,stemmed,true
step,steps,stepping,stepped,stepped,true
stick,sticks,sticking,sticked,sticked,true
stimulate,stimulates,stimulating,stimulated,stimulated,true
stir,stirs,stirring,stirred,stirred,true
stock,stocks,stocking,stocked,stocked,true
stop,stops,stopping,stopped,stopped,true
store,stores,storing,stored,stored,true
strain,strains,straining,strained,strained,true
strengthen,strengthens,strengthening,strengthened,strengthened,true
stress,stresses,stressing,stressed,stressed,true
stretch,stretches,stretching,stretched,stretched,true
strike,strikes,striking,struck,struck,false
strip,strips,stripping,stripped,stripped,true
strive,strives,striving,strove,striven,false
struggle,struggles,struggling,struggled,struggled,true
study,studies,studying,studied,studied,true
submit,submits,submitting,submitted,submitted,true
subscribe,subscribes,subscribing,subscribed,subscribed,true
substitute,substitutes,substituting,substituted,substituted,true
succeed,succeeds,succeeding,succeeded,succeeded,true
suck,sucks,sucking,sucked,sucked,true
sue,sues,suing,sued,sued,true
suffer,suffers,suffering,suffered,suffered,true
suffice,suffices,sufficing,sufficed,sufficed,true
suggest,suggests,suggesting,suggested,suggested,true
suit,suits,suiting,suited,suited,true
summon,summons,summoning,summoned,summoned,true
supervise,supervises,supervising,supervised,supervised,true
supplement,supplements,supplementing,supplemented,supplemented,true
supply,supplies,supplying,supplied,supplied,true
support,supports,supporting,supported,supported,true
suppose,supposes,supposing,supposed,supposed,true
suppress,suppresses,suppressing,suppressed,suppressed,true
surprise,surprises,surprising,surprised,surprised,true
surrender,surrenders,surrendering,surrendered,surrendered,true
surround,surrounds,surrounding,surrounded,surrounded,true
survive,survives,surviving,survived,survived,true
suspect,suspects,suspecting,suspected,suspected,true
suspend,suspends,suspending,suspended,suspended,true
sustain,sustains,sustaining,sustained,sustained,true
swallow,swallows,swallowing,swallowed,swallowed,true
swap,swaps,swapping,swapped,swapped,true
swear,swears,swearing,swore,sworn,false
sweep,sweeps,sweeping,swept,swept,false
swim,swims,swimming,swam,swum,false
swing,swings,swinging,swang,swung,false
switch,switches,switching,switched,switched,true
tackle,tackles,tackling,tackled,tackled,true
take,takes,taking,took,taken,false
talk,talks,talking,talked,talked,true
tap,taps,tapping,tapped,tapped,true
taste,tastes,tasting,tasted,tasted,true
tax,taxes,taxing,taxed,taxed,true
teach,teaches,teaching,taught,taught,false
tear,tears,tearing,tore,torn,false
telephone,telephones,telephoning,telephoned,telephoned,true
tell,tells,telling,told,told,false
tend,tends,tending,tended,tended,true
terminate,terminates,terminating,terminated,terminated,true
test,tests,testing,tested,tested,true
thank,thanks,thanking,thanked,thanked,true
think,thinks,thinking,thought,thought,false
threaten,threatens,threatening,threatened,threatened,true
thrive,thrives,thriving,throve,thriven,false
throw,throws,throwing,threw,thrown,false
thrust,thrusts,thrusting,thrust,thrust,false
tick,ticks,ticking,ticked,ticked,true
tie,ties,tying,tied,tied,true
tighten,tightens,tightening,tightened,tightened,true
time,times,timing,timed,timed,true
tip,tips,tipping,tipped,tipped,true
tolerate,tolerates,tolerating,tolerated,tolerated,true
top,tops,topping,topped,topped,true
touch,touches,touching,touched,touched,true
tour,tours,touring,toured,toured,true
trace,traces,tracing,traced,traced,true
track,tracks,tracking,tracked,tracked,true
trade,trades,trading,traded,traded,true
train,trains,training,trained,trained,true
transfer,transfers,transferring,transferred,transferred,true
transform,transforms,transforming,transformed,transformed,true
translate,translates,translating,translated,translated,true
transport,transports,transporting,transported,transported,true
trap,traps,trapping,trapped,trapped,true
travel,travels,travelling,travelled,travelled,true
treat,treats,treating,treated,treated,true
trust,trusts,trusting,trusted,trusted,true
try,tries,trying,tried,tried,true
turn,turns,turning,turned,turned,true
twist,twists,twisting,twisted,twisted,true
undergo,undergoes,undergoing,underwent,undergone,false
undermine,undermines,undermining,undermined,undermined,true
understand,understands,understanding,understood,understood,false
undertake,undertakes,undertaking,undertook,undertaken,false
unite,unites,uniting,united,united,true
update,updates,updating,updated,updated,true
upgrade,upgrades,upgrading,upgraded,upgraded,true
upset,upsets,upsetting,upset,upset,true
urge,urges,urging,urged,urged,true
use,uses,using,used,used,true
value,values,valuing,valued,valued,true
vary,varies,varying,varied,varied,true
venture,ventures,venturing,ventured,ventured,true
view,views,viewing,viewed,viewed,true
visit,visits,visiting,visited,visited,true
voice,voices,voicing,voiced,voiced,true
vote,votes,voting,voted,voted,true
wait,waits,waiting,waited,waited,true
wake,wakes,waking,woke,woken,true
walk,walks,walking,walked,walked,true
wander,wanders,wandering,wandered,wandered,true
want,wants,wanting,wanted,wanted,true
warm,warms,warming,warmed,warmed,true
warn,warns,warning,warned,warned,true
warrant,warrants,warranting,warranted,warranted,true
wash,washes,washing,washed,washed,true
waste,wastes,wasting,wasted,wasted,true
watch,watches,watching,watched,watched,true
wave,waves,waving,waved,waved,true
weaken,weakens,weakening,weakened,weakened,true
wear,wears,wearing,wore,worn,false
wed,weds,wedding,wed,wed,false
weigh,weighs,weighing,weighed,weighed,true
welcome,welcomes,welcoming,welcomed,welcomed,true
widen,widens,widening,widened,widened,true
win,wins,winning,won,won,false
wind,winds,winding,winded,winded,true
wipe,wipes,wiping,wiped,wiped,true
wish,wishes,wishing,wished,wished,true
withdraw,withdraws,withdrawing,withdrew,withdrawn,false
withstand,withstands,withstanding,withstood,withstood,false
witness,witnesses,witnessing,witnessed,witnessed,true
wonder,wonders,wondering,wondered,wondered,true
work,works,working,worked,worked,true
worry,worries,worrying,worried,worried,true
wrap,wraps,wrapping,wrapped,wrapped,true
write,writes,writing,wrote,written,false
yield,yields,yielding,yielded,yielded,true
